name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Dodi Lukébakio,Right Winger,23,13000000,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,VfL Wolfsburg,loan transfer
Marlon,Centre-Back,25,6000000,Italy,Serie A,US Sassuolo,Ukraine,Premier Liga,Shakhtar Donetsk,12000000
Romain Perraud,Left-Back,23,8000000,France,Ligue 1,Stade Brestois 29,England,Premier League,Southampton FC,12000000
Mohamed Daramy,Left Winger,19,4000000,Denmark,Superligaen,FC Copenhagen,Netherlands,Eredivisie,Ajax Amsterdam,12000000
Christos Tzolis,Left Winger,19,12000000,Greece,Super League 1,PAOK Thessaloniki,England,Premier League,Norwich City,11000000
Imrân Louza,Central Midfield,22,12000000,France,Ligue 1,FC Nantes,England,Premier League,Watford FC,10000000
Jean-Clair Todibo,Centre-Back,21,12000000,Spain,LaLiga,FC Barcelona,France,Ligue 1,OGC Nice,8000000
Lukas Nmecha,Centre-Forward,22,12000000,England,Premier League,Manchester City,Germany,Bundesliga,VfL Wolfsburg,8000000
Xherdan Shaqiri,Right Winger,29,12000000,England,Premier League,Liverpool FC,France,Ligue 1,Olympique Lyon,6000000
Steven Berghuis,Right Winger,29,12000000,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,Ajax Amsterdam,5000000
Mohamed Ihattaren,Attacking Midfield,19,12000000,Netherlands,Eredivisie,PSV Eindhoven,Italy,Serie A,Juventus FC,5000000
Faitout Maouassa,Left-Back,23,12000000,France,Ligue 1,Stade Rennais FC,Belgium,Jupiler Pro League,Club Brugge KV,4000000
Rachid Ghezzal,Right Winger,29,12000000,England,Premier League,Leicester City,Turkey,Süper Lig,Besiktas JK,3000000
Kaio Jorge,Centre-Forward,19,12000000,Brazil,Série A,Santos FC,Italy,Serie A,Juventus FC,1000000
Bernard,Left Winger,28,12000000,England,Premier League,Everton FC,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,1000000
Josip Brekalo,Left Winger,23,12000000,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,Torino FC,1000000
Rui Silva,Goalkeeper,27,12000000,Spain,LaLiga,Granada CF,Spain,LaLiga,Real Betis Balompié,free transfer
João Mário,Central Midfield,28,12000000,Italy,Serie A,Inter Milan,Portugal,Liga Bwin,SL Benfica,free transfer
Zinho Vanheusden,Centre-Back,21,12000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,loan transfer
Andrea Pinamonti,Centre-Forward,22,12000000,Italy,Serie A,Inter Milan,Italy,Serie A,FC Empoli,loan transfer
Unai López,Central Midfield,25,12000000,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Rayo Vallecano,loan transfer
Mohamed Ihattaren,Attacking Midfield,19,12000000,Italy,Serie A,Juventus FC,Italy,Serie A,UC Sampdoria,loan transfer
Rui Patrício,Goalkeeper,33,10000000,England,Premier League,Wolverhampton Wanderers,Italy,Serie A,AS Roma,11000000
Claudinho,Attacking Midfield,24,11000000,Brazil,Série A,Red Bull Bragantino,Russia,Premier Liga,Zenit St. Petersburg,12000000
